Year,State,State_Abb,County,FIPS,Percentage_Vote_for_Republican,party
2012,Pennsylvania,PA,Adams,42001.0,63.04,republican
2012,Pennsylvania,PA,Allegheny,42003.0,42.12,republican
2012,Pennsylvania,PA,Armstrong,42005.0,68.04,republican
2012,Pennsylvania,PA,Beaver,42007.0,52.62,republican
2012,Pennsylvania,PA,Bedford,42009.0,76.98,republican
2012,Pennsylvania,PA,Berks,42011.0,49.73,republican
2012,Pennsylvania,PA,Blair,42013.0,66.32,republican
2012,Pennsylvania,PA,Bradford,42015.0,61.51,republican
2012,Pennsylvania,PA,Bucks,42017.0,48.78,republican
2012,Pennsylvania,PA,Butler,42019.0,66.81,republican
2012,Pennsylvania,PA,Cambria,42021.0,58.1,republican
2012,Pennsylvania,PA,Cameron,42023.0,64.38,republican
2012,Pennsylvania,PA,Carbon,42025.0,52.79,republican
2012,Pennsylvania,PA,Centre,42027.0,48.83,republican
2012,Pennsylvania,PA,Chester,42029.0,49.54,republican
2012,Pennsylvania,PA,Clarion,42031.0,66.9,republican
2012,Pennsylvania,PA,Clearfield,42033.0,63.65,republican
2012,Pennsylvania,PA,Clinton,42035.0,55.05,republican
2012,Pennsylvania,PA,Columbia,42037.0,55.56,republican
2012,Pennsylvania,PA,Crawford,42039.0,59.06,republican
2012,Pennsylvania,PA,Cumberland,42041.0,58.48,republican
2012,Pennsylvania,PA,Dauphin,42043.0,46.33,republican
2012,Pennsylvania,PA,Delaware,42045.0,38.82,republican
2012,Pennsylvania,PA,Elk,42047.0,57.25,republican
2012,Pennsylvania,PA,Erie,42049.0,41.33,republican
2012,Pennsylvania,PA,Fayette,42051.0,53.64,republican
2012,Pennsylvania,PA,Forest,42053.0,59.82,republican
2012,Pennsylvania,PA,Franklin,42055.0,68.58,republican
2012,Pennsylvania,PA,Fulton,42057.0,77.71,republican
2012,Pennsylvania,PA,Greene,42059.0,58.27,republican
2012,Pennsylvania,PA,Huntingdon,42061.0,67.91,republican
2012,Pennsylvania,PA,Indiana,42063.0,58.53,republican
2012,Pennsylvania,PA,Jefferson,42065.0,72.1,republican
2012,Pennsylvania,PA,Juniata,42067.0,71.97,republican
2012,Pennsylvania,PA,Lackawanna,42069.0,35.8,republican
2012,Pennsylvania,PA,Lancaster,42071.0,58.74,republican
2012,Pennsylvania,PA,Lawrence,42073.0,53.92,republican
2012,Pennsylvania,PA,Lebanon,42075.0,63.4,republican
2012,Pennsylvania,PA,Lehigh,42077.0,45.49,republican
2012,Pennsylvania,PA,Luzerne,42079.0,46.87,republican
2012,Pennsylvania,PA,Lycoming,42081.0,65.94,republican
2012,Pennsylvania,PA,McKean,42083.0,63.18,republican
2012,Pennsylvania,PA,Mercer,42085.0,50.97,republican
2012,Pennsylvania,PA,Mifflin,42087.0,72.93,republican
2012,Pennsylvania,PA,Monroe,42089.0,42.7,republican
2012,Pennsylvania,PA,Montgomery,42091.0,42.3,republican
2012,Pennsylvania,PA,Montour,42093.0,59.4,republican
2012,Pennsylvania,PA,Northampton,42095.0,47.0,republican
2012,Pennsylvania,PA,Northumberland,42097.0,58.77,republican
2012,Pennsylvania,PA,Perry,42099.0,68.59,republican
2012,Pennsylvania,PA,Philadelphia,42101.0,13.97,republican
2012,Pennsylvania,PA,Pike,42103.0,54.93,republican
2012,Pennsylvania,PA,Potter,42105.0,72.23,republican
2012,Pennsylvania,PA,Schuylkill,42107.0,55.91,republican
2012,Pennsylvania,PA,Snyder,42109.0,67.14,republican
2012,Pennsylvania,PA,Somerset,42111.0,70.66,republican
2012,Pennsylvania,PA,Sullivan,42113.0,63.34,republican
2012,Pennsylvania,PA,Susquehanna,42115.0,59.85,republican
2012,Pennsylvania,PA,Tioga,42117.0,66.7,republican
2012,Pennsylvania,PA,Union,42119.0,60.83,republican
2012,Pennsylvania,PA,Venango,42121.0,62.32,republican
2012,Pennsylvania,PA,Warren,42123.0,57.86,republican
2012,Pennsylvania,PA,Washington,42125.0,56.18,republican
2012,Pennsylvania,PA,Wayne,42127.0,59.68,republican
2012,Pennsylvania,PA,Westmoreland,42129.0,61.29,republican
2012,Pennsylvania,PA,Wyoming,42131.0,55.48,republican
2012,Pennsylvania,PA,York,42133.0,59.88,republican
