Year,State,State_Abb,County,FIPS,Percentage_Vote_for_Republican,party
2016,Texas,TX,Anderson,48001.0,77.76,republican
2016,Texas,TX,Andrews,48003.0,79.45,republican
2016,Texas,TX,Angelina,48005.0,72.44,republican
2016,Texas,TX,Aransas,48007.0,73.63,republican
2016,Texas,TX,Archer,48009.0,88.4,republican
2016,Texas,TX,Armstrong,48011.0,90.5,republican
2016,Texas,TX,Atascosa,48013.0,63.03,republican
2016,Texas,TX,Austin,48015.0,78.52,republican
2016,Texas,TX,Bailey,48017.0,74.96,republican
2016,Texas,TX,Bandera,48019.0,79.89,republican
2016,Texas,TX,Bastrop,48021.0,57.38,republican
2016,Texas,TX,Baylor,48023.0,84.52,republican
2016,Texas,TX,Bee,48025.0,55.91,republican
2016,Texas,TX,Bell,48027.0,54.74,republican
2016,Texas,TX,Bexar,48029.0,40.76,republican
2016,Texas,TX,Blanco,48031.0,74.09,republican
2016,Texas,TX,Borden,48033.0,90.41,republican
2016,Texas,TX,Bosque,48035.0,80.88,republican
2016,Texas,TX,Bowie,48037.0,72.03,republican
2016,Texas,TX,Brazoria,48039.0,60.07,republican
2016,Texas,TX,Brazos,48041.0,57.64,republican
2016,Texas,TX,Brewster,48043.0,48.85,republican
2016,Texas,TX,Briscoe,48045.0,84.92,republican
2016,Texas,TX,Brooks,48047.0,23.61,republican
2016,Texas,TX,Brown,48049.0,85.68,republican
2016,Texas,TX,Burleson,48051.0,76.38,republican
2016,Texas,TX,Burnet,48053.0,76.22,republican
2016,Texas,TX,Caldwell,48055.0,55.33,republican
2016,Texas,TX,Calhoun,48057.0,66.59,republican
2016,Texas,TX,Callahan,48059.0,87.2,republican
2016,Texas,TX,Cameron,48061.0,32.01,republican
2016,Texas,TX,Camp,48063.0,70.48,republican
2016,Texas,TX,Carson,48065.0,88.39,republican
2016,Texas,TX,Cass,48067.0,78.79,republican
2016,Texas,TX,Castro,48069.0,70.81,republican
2016,Texas,TX,Chambers,48071.0,79.47,republican
2016,Texas,TX,Cherokee,48073.0,76.94,republican
2016,Texas,TX,Childress,48075.0,86.47,republican
2016,Texas,TX,Clay,48077.0,87.23,republican
2016,Texas,TX,Cochran,48079.0,75.36,republican
