FIPS,State,County,Area_name,Unemployment_rate_2008,Unemployment_rate_2012,Unemployment_rate_2016
48185,TX,Grimes County,"Grimes County, TX",5.1,6.4,6.6
48187,TX,Guadalupe County,"Guadalupe County, TX",4.2,5.7,3.6
48189,TX,Hale County,"Hale County, TX",4.4,6.9,5.6
48191,TX,Hall County,"Hall County, TX",5.5,7.7,6.7
48193,TX,Hamilton County,"Hamilton County, TX",3.5,5.8,4.9
48195,TX,Hansford County,"Hansford County, TX",3.2,3.4,3.1
48197,TX,Hardeman County,"Hardeman County, TX",3.5,5.9,3.9
48199,TX,Hardin County,"Hardin County, TX",5.2,8.4,6.1
48201,TX,Harris County,"Harris County, TX",4.7,6.6,5.3
48203,TX,Harrison County,"Harrison County, TX",4.6,7.4,6.0
48205,TX,Hartley County,"Hartley County, TX",3.3,3.3,2.0
48207,TX,Haskell County,"Haskell County, TX",3.2,5.3,4.2
48209,TX,Hays County,"Hays County, TX",4.3,5.8,3.3
48211,TX,Hemphill County,"Hemphill County, TX",1.9,2.9,3.7
48213,TX,Henderson County,"Henderson County, TX",5.2,7.6,4.7
48215,TX,Hidalgo County,"Hidalgo County, TX",7.1,10.6,7.8
48217,TX,Hill County,"Hill County, TX",4.9,6.9,4.4
48219,TX,Hockley County,"Hockley County, TX",3.7,5.3,4.6
48221,TX,Hood County,"Hood County, TX",4.2,6.5,4.7
48223,TX,Hopkins County,"Hopkins County, TX",4.1,6.5,4.0
48225,TX,Houston County,"Houston County, TX",6.4,7.1,4.6
48227,TX,Howard County,"Howard County, TX",4.5,5.6,5.5
48229,TX,Hudspeth County,"Hudspeth County, TX",3.9,7.5,6.0
48231,TX,Hunt County,"Hunt County, TX",5.3,8.3,4.3
48233,TX,Hutchinson County,"Hutchinson County, TX",4.1,6.5,5.6
48235,TX,Irion County,"Irion County, TX",3.5,4.6,3.2
48237,TX,Jack County,"Jack County, TX",3.1,5.8,4.9
48239,TX,Jackson County,"Jackson County, TX",4.0,5.1,4.7
48241,TX,Jasper County,"Jasper County, TX",6.3,10.6,7.7
48243,TX,Jeff Davis County,"Jeff Davis County, TX",3.6,4.9,2.9
48245,TX,Jefferson County,"Jefferson County, TX",6.6,11.1,7.0
48247,TX,Jim Hogg County,"Jim Hogg County, TX",3.8,6.6,9.5
48249,TX,Jim Wells County,"Jim Wells County, TX",4.2,6.2,10.5
48251,TX,Johnson County,"Johnson County, TX",4.6,6.6,4.3
48253,TX,Jones County,"Jones County, TX",4.9,7.2,5.8
48255,TX,Karnes County,"Karnes County, TX",5.8,6.1,4.9
48257,TX,Kaufman County,"Kaufman County, TX",5.2,7.0,3.8
