Year,State,State_Abb,County,FIPS,Percentage_Vote_for_Republican,party
2008,Texas,TX,Anderson,48001.0,71.35,republican
2008,Texas,TX,Andrews,48003.0,82.44,republican
2008,Texas,TX,Angelina,48005.0,67.13,republican
2008,Texas,TX,Aransas,48007.0,68.45,republican
2008,Texas,TX,Archer,48009.0,82.36,republican
2008,Texas,TX,Armstrong,48011.0,86.46,republican
2008,Texas,TX,Atascosa,48013.0,54.96,republican
2008,Texas,TX,Austin,48015.0,74.96,republican
2008,Texas,TX,Bailey,48017.0,69.86,republican
2008,Texas,TX,Bandera,48019.0,74.59,republican
2008,Texas,TX,Bastrop,48021.0,53.31,republican
2008,Texas,TX,Baylor,48023.0,76.81,republican
2008,Texas,TX,Bee,48025.0,54.81,republican
2008,Texas,TX,Bell,48027.0,54.51,republican
2008,Texas,TX,Bexar,48029.0,46.85,republican
2008,Texas,TX,Blanco,48031.0,69.2,republican
2008,Texas,TX,Borden,48033.0,87.53,republican
2008,Texas,TX,Bosque,48035.0,75.36,republican
2008,Texas,TX,Bowie,48037.0,68.67,republican
2008,Texas,TX,Brazoria,48039.0,64.34,republican
2008,Texas,TX,Brazos,48041.0,63.85,republican
2008,Texas,TX,Brewster,48043.0,47.56,republican
2008,Texas,TX,Briscoe,48045.0,74.34,republican
2008,Texas,TX,Brooks,48047.0,24.08,republican
2008,Texas,TX,Brown,48049.0,80.27,republican
2008,Texas,TX,Burleson,48051.0,68.22,republican
2008,Texas,TX,Burnet,48053.0,71.38,republican
2008,Texas,TX,Caldwell,48055.0,52.43,republican
2008,Texas,TX,Calhoun,48057.0,59.69,republican
2008,Texas,TX,Callahan,48059.0,80.28,republican
2008,Texas,TX,Cameron,48061.0,35.25,republican
2008,Texas,TX,Camp,48063.0,61.27,republican
2008,Texas,TX,Carson,48065.0,85.5,republican
2008,Texas,TX,Cass,48067.0,69.89,republican
2008,Texas,TX,Castro,48069.0,68.18,republican
2008,Texas,TX,Chambers,48071.0,75.14,republican
2008,Texas,TX,Cherokee,48073.0,71.24,republican
2008,Texas,TX,Childress,48075.0,77.61,republican
2008,Texas,TX,Clay,48077.0,78.91,republican
2008,Texas,TX,Cochran,48079.0,71.71,republican
2008,Texas,TX,Coke,48081.0,79.8,republican
2008,Texas,TX,Coleman,48083.0,81.33,republican
2008,Texas,TX,Collin,48085.0,62.34,republican
2008,Texas,TX,Collingsworth,48087.0,78.91,republican
2008,Texas,TX,Colorado,48089.0,69.38,republican
2008,Texas,TX,Comal,48091.0,73.16,republican
2008,Texas,TX,Comanche,48093.0,73.09,republican
2008,Texas,TX,Concho,48095.0,74.93,republican
2008,Texas,TX,Cooke,48097.0,78.97,republican
2008,Texas,TX,Coryell,48099.0,63.0,republican
2008,Texas,TX,Cottle,48101.0,72.2,republican
2008,Texas,TX,Crane,48103.0,76.96,republican
2008,Texas,TX,Crockett,48105.0,66.41,republican
2008,Texas,TX,Crosby,48107.0,63.79,republican
2008,Texas,TX,Culberson,48109.0,33.86,republican
2008,Texas,TX,Dallam,48111.0,79.86,republican
2008,Texas,TX,Dallas,48113.0,41.98,republican
2008,Texas,TX,Dawson,48115.0,70.95,republican
2008,Texas,TX,Deaf Smith,48117.0,73.06,republican
2008,Texas,TX,Delta,48119.0,72.25,republican
2008,Texas,TX,Denton,48121.0,61.63,republican
2008,Texas,TX,Dewitt,48123.0,73.77,republican
2008,Texas,TX,Dickens,48125.0,75.1,republican
2008,Texas,TX,Dimmit,48127.0,24.37,republican
2008,Texas,TX,Donley,48129.0,81.3,republican
2008,Texas,TX,Duval,48131.0,24.4,republican
2008,Texas,TX,Eastland,48133.0,79.35,republican
2008,Texas,TX,Ector,48135.0,73.58,republican
2008,Texas,TX,Edwards,48137.0,65.02,republican
2008,Texas,TX,Ellis,48139.0,70.71,republican
2008,Texas,TX,El Paso,48141.0,33.35,republican
2008,Texas,TX,Erath,48143.0,76.81,republican
2008,Texas,TX,Falls,48145.0,59.44,republican
2008,Texas,TX,Fannin,48147.0,69.2,republican
2008,Texas,TX,Fayette,48149.0,70.77,republican
2008,Texas,TX,Fisher,48151.0,60.71,republican
2008,Texas,TX,Floyd,48153.0,70.77,republican
2008,Texas,TX,Foard,48155.0,60.78,republican
2008,Texas,TX,Fort Bend,48157.0,50.89,republican
2008,Texas,TX,Franklin,48159.0,75.53,republican
2008,Texas,TX,Freestone,48161.0,71.42,republican
2008,Texas,TX,Frio,48163.0,40.47,republican
2008,Texas,TX,Gaines,48165.0,83.23,republican
2008,Texas,TX,Galveston,48167.0,59.29,republican
2008,Texas,TX,Garza,48169.0,77.49,republican
2008,Texas,TX,Gillespie,48171.0,77.51,republican
2008,Texas,TX,Glasscock,48173.0,90.13,republican
2008,Texas,TX,Goliad,48175.0,62.87,republican
2008,Texas,TX,Gonzales,48177.0,64.83,republican
2008,Texas,TX,Gray,48179.0,85.13,republican
2008,Texas,TX,Grayson,48181.0,68.47,republican
2008,Texas,TX,Gregg,48183.0,68.54,republican
2008,Texas,TX,Grimes,48185.0,66.83,republican
2008,Texas,TX,Guadalupe,48187.0,65.04,republican
2008,Texas,TX,Hale,48189.0,72.12,republican
2008,Texas,TX,Hall,48191.0,73.58,republican
2008,Texas,TX,Hamilton,48193.0,76.12,republican
2008,Texas,TX,Hansford,48195.0,87.87,republican
2008,Texas,TX,Hardeman,48197.0,75.17,republican
2008,Texas,TX,Hardin,48199.0,80.2,republican
2008,Texas,TX,Harris,48201.0,48.82,republican
2008,Texas,TX,Harrison,48203.0,65.38,republican
2008,Texas,TX,Hartley,48205.0,86.2,republican
2008,Texas,TX,Haskell,48207.0,65.6,republican
2008,Texas,TX,Hays,48209.0,50.19,republican
2008,Texas,TX,Hemphill,48211.0,85.67,republican
2008,Texas,TX,Henderson,48213.0,71.94,republican
2008,Texas,TX,Hidalgo,48215.0,30.33,republican
2008,Texas,TX,Hill,48217.0,70.25,republican
2008,Texas,TX,Hockley,48219.0,75.8,republican
2008,Texas,TX,Hood,48221.0,76.56,republican
2008,Texas,TX,Hopkins,48223.0,71.98,republican
2008,Texas,TX,Houston,48225.0,68.09,republican
2008,Texas,TX,Howard,48227.0,72.55,republican
2008,Texas,TX,Hudspeth,48229.0,51.0,republican
2008,Texas,TX,Hunt,48231.0,69.68,republican
2008,Texas,TX,Hutchinson,48233.0,84.02,republican
2008,Texas,TX,Irion,48235.0,78.82,republican
2008,Texas,TX,Jack,48237.0,83.63,republican
2008,Texas,TX,Jackson,48239.0,73.62,republican
2008,Texas,TX,Jasper,48241.0,70.62,republican
2008,Texas,TX,Jeff Davis,48243.0,60.6,republican
2008,Texas,TX,Jefferson,48245.0,48.59,republican
2008,Texas,TX,Jim Hogg,48247.0,26.01,republican
2008,Texas,TX,Jim Wells,48249.0,41.69,republican
2008,Texas,TX,Johnson,48251.0,73.3,republican
2008,Texas,TX,Jones,48253.0,72.37,republican
2008,Texas,TX,Karnes,48255.0,60.44,republican
2008,Texas,TX,Kaufman,48257.0,67.53,republican
2008,Texas,TX,Kendall,48259.0,77.46,republican
2008,Texas,TX,Kenedy,48261.0,46.53,republican
2008,Texas,TX,Kent,48263.0,76.34,republican
2008,Texas,TX,Kerr,48265.0,74.27,republican
2008,Texas,TX,Kimble,48267.0,80.68,republican
2008,Texas,TX,King,48269.0,92.64,republican
2008,Texas,TX,Kinney,48271.0,58.48,republican
2008,Texas,TX,Kleberg,48273.0,45.97,republican
2008,Texas,TX,Knox,48275.0,72.08,republican
2008,Texas,TX,Lamar,48277.0,70.54,republican
2008,Texas,TX,Lamb,48279.0,73.9,republican
2008,Texas,TX,Lampasas,48281.0,74.02,republican
2008,Texas,TX,La Salle,48283.0,40.2,republican
2008,Texas,TX,Lavaca,48285.0,76.53,republican
2008,Texas,TX,Lee,48287.0,67.62,republican
2008,Texas,TX,Leon,48289.0,79.05,republican
2008,Texas,TX,Liberty,48291.0,71.43,republican
2008,Texas,TX,Limestone,48293.0,66.37,republican
2008,Texas,TX,Lipscomb,48295.0,87.02,republican
2008,Texas,TX,Live Oak,48297.0,74.11,republican
2008,Texas,TX,Llano,48299.0,75.62,republican
2008,Texas,TX,Loving,48301.0,84.81,republican
2008,Texas,TX,Lubbock,48303.0,67.98,republican
2008,Texas,TX,Lynn,48305.0,69.61,republican
2008,Texas,TX,McCulloch,48307.0,75.18,republican
2008,Texas,TX,McLennan,48309.0,61.56,republican
2008,Texas,TX,McMullen,48311.0,74.49,republican
