Year,State,State_Abb,County,FIPS,Percentage_Vote_for_Republican,party
2016,Pennsylvania,PA,Adams,42001.0,66.17,republican
2016,Pennsylvania,PA,Allegheny,42003.0,39.91,republican
2016,Pennsylvania,PA,Armstrong,42005.0,74.27,republican
2016,Pennsylvania,PA,Beaver,42007.0,57.64,republican
2016,Pennsylvania,PA,Bedford,42009.0,82.72,republican
2016,Pennsylvania,PA,Berks,42011.0,52.78,republican
2016,Pennsylvania,PA,Blair,42013.0,71.27,republican
2016,Pennsylvania,PA,Bradford,42015.0,70.57,republican
2016,Pennsylvania,PA,Bucks,42017.0,47.74,republican
2016,Pennsylvania,PA,Butler,42019.0,66.37,republican
2016,Pennsylvania,PA,Cambria,42021.0,67.0,republican
2016,Pennsylvania,PA,Cameron,42023.0,72.69,republican
2016,Pennsylvania,PA,Carbon,42025.0,65.13,republican
2016,Pennsylvania,PA,Centre,42027.0,46.32,republican
2016,Pennsylvania,PA,Chester,42029.0,43.2,republican
2016,Pennsylvania,PA,Clarion,42031.0,71.72,republican
2016,Pennsylvania,PA,Clearfield,42033.0,72.75,republican
2016,Pennsylvania,PA,Clinton,42035.0,65.1,republican
2016,Pennsylvania,PA,Columbia,42037.0,63.78,republican
2016,Pennsylvania,PA,Crawford,42039.0,66.65,republican
2016,Pennsylvania,PA,Cumberland,42041.0,56.8,republican
2016,Pennsylvania,PA,Dauphin,42043.0,46.51,republican
2016,Pennsylvania,PA,Delaware,42045.0,37.18,republican
2016,Pennsylvania,PA,Elk,42047.0,69.49,republican
2016,Pennsylvania,PA,Erie,42049.0,48.57,republican
2016,Pennsylvania,PA,Fayette,42051.0,64.33,republican
2016,Pennsylvania,PA,Forest,42053.0,70.1,republican
2016,Pennsylvania,PA,Franklin,42055.0,71.37,republican
2016,Pennsylvania,PA,Fulton,42057.0,84.09,republican
2016,Pennsylvania,PA,Greene,42059.0,68.82,republican
2016,Pennsylvania,PA,Huntingdon,42061.0,73.55,republican
2016,Pennsylvania,PA,Indiana,42063.0,65.89,republican
2016,Pennsylvania,PA,Jefferson,42065.0,78.0,republican
2016,Pennsylvania,PA,Juniata,42067.0,79.14,republican
2016,Pennsylvania,PA,Lackawanna,42069.0,46.77,republican
2016,Pennsylvania,PA,Lancaster,42071.0,57.2,republican
2016,Pennsylvania,PA,Lawrence,42073.0,62.4,republican
2016,Pennsylvania,PA,Lebanon,42075.0,65.53,republican
2016,Pennsylvania,PA,Lehigh,42077.0,45.77,republican
2016,Pennsylvania,PA,Luzerne,42079.0,58.29,republican
2016,Pennsylvania,PA,Lycoming,42081.0,70.46,republican
2016,Pennsylvania,PA,McKean,42083.0,71.4,republican
2016,Pennsylvania,PA,Mercer,42085.0,60.3,republican
2016,Pennsylvania,PA,Mifflin,42087.0,75.77,republican
2016,Pennsylvania,PA,Monroe,42089.0,47.86,republican
2016,Pennsylvania,PA,Montgomery,42091.0,37.44,republican
2016,Pennsylvania,PA,Montour,42093.0,61.8,republican
2016,Pennsylvania,PA,Northampton,42095.0,49.98,republican
2016,Pennsylvania,PA,Northumberland,42097.0,69.43,republican
2016,Pennsylvania,PA,Perry,42099.0,73.81,republican
2016,Pennsylvania,PA,Philadelphia,42101.0,15.37,republican
2016,Pennsylvania,PA,Pike,42103.0,61.51,republican
2016,Pennsylvania,PA,Potter,42105.0,80.31,republican
2016,Pennsylvania,PA,Schuylkill,42107.0,69.99,republican
2016,Pennsylvania,PA,Snyder,42109.0,71.66,republican
2016,Pennsylvania,PA,Somerset,42111.0,76.54,republican
2016,Pennsylvania,PA,Sullivan,42113.0,73.05,republican
2016,Pennsylvania,PA,Susquehanna,42115.0,68.34,republican
2016,Pennsylvania,PA,Tioga,42117.0,74.29,republican
2016,Pennsylvania,PA,Union,42119.0,60.81,republican
2016,Pennsylvania,PA,Venango,42121.0,68.62,republican
2016,Pennsylvania,PA,Warren,42123.0,67.68,republican
2016,Pennsylvania,PA,Washington,42125.0,60.51,republican
2016,Pennsylvania,PA,Wayne,42127.0,67.63,republican
2016,Pennsylvania,PA,Westmoreland,42129.0,64.01,republican
2016,Pennsylvania,PA,Wyoming,42131.0,67.23,republican
2016,Pennsylvania,PA,York,42133.0,62.4,republican
